accommodates,bathrooms,bedrooms,beds,price
2,1.0,1.0,1.0,58.0
2,1.0,1.0,1.0,80.0
2,1.0,1.0,1.0,85.0
2,1.0,1.0,1.0,65.0
1,1.0,1.0,1.0,70.0
4,1.0,1.0,1.0,80.0
2,2.0,1.0,1.0,90.0
2,1.0,1.0,1.0,70.0
1,1.0,1.0,1.0,59.0
2,1.0,1.0,1.0,86.0
1,1.0,1.0,1.0,37.0
2,1.0,1.0,1.0,60.0
1,1.0,1.0,1.0,55.0
2,2.0,1.0,1.0,58.0
2,2.0,1.0,1.0,62.0
2,1.0,2.0,1.0,76.0
2,1.0,1.0,1.0,70.0
1,1.0,1.0,1.0,55.0
2,1.0,1.0,1.0,65.0
2,1.5,1.0,2.0,65.0
1,1.0,1.0,1.0,85.0
1,1.0,1.0,1.0,50.0
8,1.0,2.0,4.0,152.0
6,1.5,1.0,4.0,225.0
12,2.0,2.0,5.0,250.0
2,1.0,1.0,1.0,125.0
6,1.0,2.0,2.0,130.0
6,1.5,2.0,3.0,175.0
2,1.0,1.0,1.0,150.0
4,1.0,1.0,1.0,165.0
4,1.0,1.0,2.0,189.0
4,1.0,1.0,2.0,150.0
1,1.0,1.0,1.0,150.0
4,1.0,1.0,2.0,100.0
4,1.0,1.0,1.0,200.0
1,1.0,1.0,1.0,61.0
2,1.0,1.0,1.0,60.0
2,2.0,1.0,1.0,60.0
1,1.0,1.0,1.0,45.0
2,2.0,1.0,1.0,60.0
2,1.0,1.0,1.0,49.0
2,1.0,1.0,1.0,59.0
2,1.0,1.0,2.0,63.0
1,1.0,1.0,1.0,65.0
2,1.0,1.0,1.0,59.0
1,1.0,1.0,1.0,70.0
2,1.0,1.0,1.0,65.0
1,1.0,1.0,2.0,80.0
4,1.0,1.0,3.0,122.0
3,1.0,1.0,2.0,85.0
3,1.0,1.0,1.0,90.0
7,1.0,2.0,3.0,289.0
2,1.0,1.0,1.0,125.0
8,2.0,3.0,4.0,350.0
3,1.0,1.0,2.0,225.0
2,1.0,1.0,1.0,55.0
1,1.0,1.0,1.0,50.0
2,1.0,1.0,1.0,49.0
2,1.0,1.0,1.0,100.0
3,1.0,1.0,1.0,70.0
2,1.0,1.0,1.0,59.0
1,1.0,1.0,1.0,70.0
2,1.0,1.0,1.0,75.0
4,1.0,1.0,2.0,40.0
2,1.0,1.0,1.0,75.0
1,1.0,2.0,1.0,70.0
2,1.0,1.0,1.0,65.0
2,1.0,1.0,1.0,60.0
1,1.0,1.0,1.0,80.0
1,1.0,1.0,1.0,70.0
2,1.0,1.0,1.0,59.0
3,1.0,1.0,1.0,99.0
3,1.0,1.0,1.0,199.0
4,1.0,1.0,2.0,79.0
2,1.0,1.0,1.0,110.0
6,1.0,3.0,4.0,200.0
2,1.0,1.0,1.0,145.0
2,1.0,1.0,1.0,65.0
1,1.5,1.0,1.0,27.0
2,1.0,2.0,1.0,250.0
1,1.0,1.0,1.0,37.0
2,1.0,1.0,1.0,65.0
2,1.0,1.0,1.0,45.0
1,1.0,1.0,1.0,30.0
5,2.0,3.0,3.0,250.0
2,1.0,1.0,1.0,41.0
1,1.0,1.0,1.0,34.0
4,1.0,1.0,1.0,125.0
2,1.0,1.0,1.0,110.0
2,1.0,1.0,1.0,69.0
2,1.0,1.0,1.0,75.0
1,1.0,1.0,1.0,40.0
2,1.0,1.0,1.0,50.0
4,1.0,1.0,2.0,160.0
3,1.0,2.0,1.0,125.0
1,1.0,1.0,1.0,40.0
2,1.0,1.0,1.0,60.0
1,1.0,1.0,1.0,60.0
2,1.0,1.0,1.0,40.0
2,1.5,1.0,1.0,72.0
4,1.0,1.0,2.0,96.0
3,1.0,1.0,1.0,150.0
2,1.0,1.0,1.0,99.0
3,1.0,1.0,1.0,120.0
2,1.0,1.0,1.0,72.0
2,1.0,1.0,1.0,50.0
3,1.0,1.0,1.0,75.0
1,1.0,1.0,1.0,65.0
1,0.0,1.0,1.0,100.0
3,1.0,1.0,1.0,75.0
2,1.0,1.0,1.0,72.0
3,1.0,1.0,1.0,98.0
1,1.0,1.0,1.0,133.0
1,1.0,1.0,1.0,90.0
2,1.0,1.0,1.0,150.0
2,1.0,1.0,1.0,180.0
6,2.0,3.0,5.0,280.0
2,1.0,1.0,1.0,60.0
4,1.0,1.0,2.0,120.0
3,1.0,1.0,1.0,120.0
3,1.0,1.0,2.0,95.0
2,1.0,1.0,1.0,105.0
4,1.0,1.0,2.0,175.0
3,1.0,1.0,2.0,108.0
1,1.0,1.0,1.0,50.0
16,2.0,4.0,6.0,699.0
6,1.0,2.0,3.0,150.0
2,1.0,1.0,2.0,55.0
1,1.0,1.0,1.0,70.0
5,1.5,1.0,1.0,175.0
4,1.0,1.0,2.0,60.0
1,1.0,1.0,2.0,50.0
2,1.0,1.0,1.0,65.0
6,1.0,2.0,2.0,180.0
3,1.0,1.0,1.0,60.0
1,1.0,1.0,1.0,50.0
6,1.0,2.0,3.0,195.0
1,1.0,1.0,1.0,90.0
2,1.0,1.0,1.0,70.0
1,2.0,1.0,1.0,45.0
2,1.0,1.0,1.0,95.0
4,1.0,1.0,2.0,70.0
16,4.0,9.0,10.0,850.0
3,1.0,1.0,1.0,129.0
3,1.0,1.0,1.0,96.0
2,1.0,1.0,1.0,60.0
6,1.0,2.0,2.0,192.0
4,1.0,1.0,3.0,63.0
2,1.0,1.0,1.0,115.0
4,1.0,1.0,3.0,97.0
2,1.0,1.0,1.0,49.0
3,1.0,1.0,2.0,100.0
2,1.0,1.0,1.0,80.0
5,1.0,2.0,4.0,130.0
2,1.0,1.0,1.0,140.0
4,1.0,1.0,1.0,101.0
2,1.0,1.0,1.0,80.0
